ANIM3,ALSO3,BBAS3,BBDC3,COGN3,IGTA3,ITSA4,LAME4,MGLU3,VVAR3
21.26,42.54,47.96,32.49,9.85,49.00,13.76,20.32,47.19,7.64
21.29,42.40,47.69,32.64,9.89,48.90,13.90,20.13,44.97,7.57
21.38,41.83,47.99,33.19,9.90,47.94,14.07,19.96,44.04,7.38
21.53,42.19,47.67,32.73,9.86,48.42,13.96,20.42,45.20,7.45
21.42,42.09,47.67,33.02,10.00,48.58,13.94,20.26,44.20,7.42
21.28,41.82,47.00,32.03,9.82,47.10,13.76,19.36,43.81,7.25
20.70,42.00,47.24,32.18,9.80,47.02,13.89,19.80,45.02,7.31
21.49,41.01,46.72,31.73,9.50,46.32,13.73,19.43,43.40,7.09
21.05,40.49,45.95,31.60,9.67,45.78,13.50,19.49,42.50,7.02
21.95,42.35,46.51,31.39,10.29,46.49,13.63,19.92,44.25,7.60
22.37,42.50,46.53,31.15,10.30,46.30,13.60,19.61,44.98,7.56
21.84,42.70,45.79,31.10,10.26,46.00,13.42,19.90,44.52,7.45
22.23,43.89,46.38,31.46,10.54,47.32,13.51,20.33,45.00,7.55
22.20,43.75,46.75,31.99,10.45,47.32,13.71,20.27,45.49,7.86
21.94,43.75,46.60,31.53,10.36,47.23,13.38,20.53,44.30,7.93
22.12,43.00,46.00,30.54,9.95,46.65,13.06,20.40,43.04,7.95
23.26,43.04,47.34,30.97,10.07,46.22,13.22,21.24,45.60,8.27
22.43,44.00,47.60,30.94,10.27,46.81,13.25,21.91,45.60,8.59
22.52,44.48,47.81,31.25,10.25,47.46,13.27,22.20,45.03,8.81
22.34,44.45,47.43,31.56,10.44,48.70,13.36,22.65,44.92,9.17
22.59,44.43,48.39,31.39,10.49,48.90,13.33,22.92,44.59,9.50
22.80,44.40,49.09,32.10,10.62,49.26,13.65,23.04,44.07,9.45
23.53,44.35,48.67,32.32,10.66,49.70,13.59,22.96,44.89,9.32
23.57,44.40,48.47,32.30,10.94,49.49,13.46,24.59,45.40,10.00
23.52,43.96,48.62,32.03,10.99,49.41,13.68,24.98,45.85,10.23
24.28,44.00,47.92,31.91,11.16,49.75,13.66,24.85,46.60,10.20
24.84,43.94,47.85,31.85,11.95,50.00,13.62,24.70,47.58,10.32
26.51,44.00,48.91,32.23,12.10,50.35,13.60,26.19,47.83,10.00
27.97,43.66,48.53,32.52,12.20,50.02,13.70,26.74,49.07,10.87
28.04,44.90,47.87,32.03,12.10,50.67,13.57,26.50,49.30,11.25
28.28,44.82,48.95,32.54,12.00,50.14,13.83,25.87,47.88,10.99
28.61,44.85,50.64,33.80,11.64,50.56,13.97,25.70,48.53,11.26
28.67,47.00,51.16,34.30,11.21,50.87,13.98,25.85,48.62,11.24
28.84,47.00,51.06,33.32,10.89,51.60,13.85,26.14,48.59,11.37
28.21,49.60,52.60,33.99,11.20,52.50,13.95,26.40,48.74,11.67
29.30,49.54,53.20,34.35,11.60,53.81,14.19,26.65,49.09,11.80
30.00,49.77,52.97,34.13,11.61,53.26,14.13,26.09,48.73,11.50
29.79,50.14,52.82,34.07,11.43,52.90,14.09,25.91,47.70,11.17
